!Women Art Revolution (2010) |   3 stars, 1hr 22m
#1 Cheerleader Camp (2010) |   3 stars, 1hr 35m
$5 a Day (2008) |   3.4 stars, 1hr 37m
Blue Mountain State (2010-2011) |   4.1 stars, 3 Seasons
Blue Murder (2003-2009) |   3.6 stars, 5 Series
Blue State (2007) |   3 stars, 1hr 32m
Blue Sunshine (1978) |   2.8 stars, 1hr 35m
Blue Water High (2005-2008) |   3.7 stars, 3 Seasons
Bluebeard (2009) |   2.9 stars, 1hr 18m
Blueberry Hill (1988) |   3.1 stars, 1hr 32m
BlueGreen (2008) |   3 stars, 1hr 19m
Blueprint for Robbery (1961) |   3 stars, 1hr 27m
BMX Bandits (1983) |   3.1 stars, 1hr 30m
Bo Burnham: Words, Words, Words (2010) |   3.7 stars, 1hr 2m
Bo on the Go! (2007) |   3.5 stars, 16 Episodes
BoardHeads (2010) |   , 1hr 24m
Boarding Gate (2007) |   2.3 stars, 1hr 46m
Bob's Burgers (2011) |   4.1 stars, 1 Season
Bob & Tom: Comedy All Stars Tour (2007) |   3.3 stars, 1hr 9m
Bob & Tom Radio: The Comedy Tour (2006) |   3.3 stars, 1hr 14m
Bob Dylan: Never Ending Tour Diaries: Drummer Winston Watson's Incredible Journey (2009) |   3.2 stars, 1hr 36m
Bob Dylan: Revealed (2011) |   3.5 stars, 1hr 52m
Bob Marley & the Wailers: Catch a Fire (1999) |   3.7 stars, 50m
Bob the Builder: Adventures by the Sea (2012) |   2.8 stars, 55m
Bob the Builder: Bob's Big Plan (2005) |   3.1 stars, 49m
Bob the Builder: Bob's Favorite Adventures (2002) |   3.2 stars, 36m
Bob the Builder: Bob's Top Team (2007) |   3.3 stars, 45m
Bob the Builder: Bob's X-Treme Adventures (1999) |   3.4 stars, 45m
Bob the Builder: Bob Saves the Day! (2002) |   3.1 stars, 43m
Bob the Builder: Build It and They Will Come (2005) |   3.2 stars, 45m
Bob the Builder: Building Bobland Bay (2007) |   3.3 stars, 54m
Bob the Builder: Building Friendships (2003) |   3 stars, 43m
Bob the Builder: Building from Scratch (2010) |   3.4 stars, 55m
Bob the Builder: Built for Fun (2009) |   3.2 stars, 45m
Bob the Builder: Built to Be Wild (2001) |   3.1 stars, 56m
Bob the Builder: Call in the Crew (2009) |   3.3 stars, 45m
Bob the Builder: Can Do Crew (2005) |   3 stars, 27m
Bob the Builder: Can We Fix It? (2002) |   3.1 stars, 43m
Bob the Builder: Celebrate with Bob (2002) |   3.2 stars, 44m
Bob the Builder: Christmas to Remember (2001) |   3.3 stars, 50m
Bob the Builder: Dig, Lift, Haul (2004) |   3 stars, 45m
Bob the Builder: Digging For Treasure (2006) |   3.2 stars, 27m
Bob the Builder: Dizzy's Favorite Adventures (2004) |   3.1 stars, 36m
Bob the Builder: Getting the Job Done (1999) |   3 stars, 45m
Bob the Builder: Heavy Duty Diggers (2010) |   3.4 stars, 45m
Bob the Builder: Help Is on the Way (2005) |   3.2 stars, 45m
Bob the Builder: Here to Help (2012) |   3.3 stars, 55m
Bob the Builder: Hold Onto Your Hard Hats (2007) |   3.1 stars, 36m
Bob the Builder: Legend of the Golden Hammer Movie (2010) |   3.3 stars, 59m
Bob the Builder: Let's Build the Beach (2003) |   3.4 stars, 45m
Bob the Builder: Lofty's Favorite Adventures (2004) |   3.1 stars, 36m
Bob the Builder: Muck's Favorite Adventures (2004) |   3.2 stars, 36m
Bob the Builder: New to the Crew (2006) |   3.1 stars, 45m
Bob the Builder: On Site: Houses & Playgrounds (2008) |   3.3 stars, 1hr
Bob the Builder: On Site: Roads & Bridges (2008) |   3.2 stars, 1hr
Bob the Builder: On Site: Skyscrapers (2009) |   3.1 stars, 1hr
Bob the Builder: On Site Project Planet (2008) |   3.3 stars, 1hr
Bob the Builder: Pets in a Pickle (2003) |   3.1 stars, 43m
Bob the Builder: Race to the Finish (2008) |   3.1 stars, 1hr
Bob the Builder: Roley's Favorite Adventures (2004) |   3 stars, 36m
Bob the Builder: Scoop's Favorite Adventures (2004) |   3 stars, 36m
Bob the Builder: Scrambler to the Rescue (2007) |   3.2 stars, 28m
Bob the Builder: Snowed Under / The Bobblesberg Winter Games (2004) |   3.1 stars, 52m
Bob the Builder: Super Scrambler (2011) |   3.3 stars, 1hr 6m
Bob the Builder: Teamwork (2003) |   3 stars, 43m
Bob the Builder: The Best of Bob the Builder (2010) |   3.1 stars, 2hr 19m
Bob the Builder: The Big Dino Dig (2011) |   3.4 stars, 1hr
Bob the Builder: The Big Game (2002) |   3.1 stars, 43m
Bob the Builder: The Knights of Fix-a-Lot (2002) |   3 stars, 43m
Bob the Builder: The LIVE Show (2004) |   3 stars, 1hr 5m
Bob the Builder: Three Musketrucks (2008) |   3.3 stars, 45m
Bob the Builder: To the Rescue! (2003) |   3.1 stars, 28m
Bob the Builder: Tool Power! (2003) |   3 stars, 45m
Bob the Builder: Trains & Treehouses (2010) |   3.3 stars, 1hr
Bob the Builder: Truck Teamwork (2009) |   3.4 stars, 56m
Bob the Builder: When Bob Became a Builder (2005) |   3.1 stars, 28m
Bob the Builder: White Christmas (2008) |   3.3 stars, 45m
Bob the Builder: Yes We Can (2003) |   3.1 stars, 45m
Bobbie Jo and the Outlaw (1976) |   3 stars, 1hr 28m
Bobby's World (1990-1996) |   , 7 Seasons
Bobby Z (2007) |   3.5 stars, 1hr 36m
Boccaccio '70 (1962) |   2 stars, 3hr 24m
Body and Soul (1981) |   3.3 stars, 1hr 45m
Body Count (1998) |   3.3 stars, 1hr 24m
Body of War (2007) |   3.7 stars, 1hr 27m
Bodyguards and Assassins (2009) |   3.8 stars, 2hr 18m
Boesman and Lena (2000) |   3 stars, 1hr 24m
Bogie (1980) |   3.3 stars, 1hr 38m
Bollywood / Hollywood (2002) |   3 stars, 1hr 40m
Bomb It (2007) |   3.8 stars, 1hr 34m
Bombay Beach (2011) |   3.2 stars, 1hr 16m
Bombay Summer (2009) |   , 1hr 46m
Bomber (2009) |   2.9 stars, 1hr 24m
Bombshell (1996) |   2.2 stars, 1hr 34m
Bon Jovi: The Circle Tour: Live From New Jersey (2010) |   3.5 stars, 1hr 37m
Bonanza: Dark Star (1960) |   3.6 stars, 49m
Bonded by Blood (2010) |   3.3 stars, 1hr 32m
Bones (2005-2010) |   4.1 stars, 6 Seasons
Bong of the Dead (2011) |   , 1hr 38m
Bonhoeffer (2003) |   3.8 stars, 1hr 31m
Bonnie and Clyde (1967) |   3.7 stars, 1hr 50m
Bonnie Bear (2008) |   3.2 stars, 4 Episodes
Bons�i (2011) |   2.3 stars, 1hr 36m
Boogie Man: The Lee Atwater Story (2008) |   3.8 stars, 1hr 27m
Boogie Woogie (2009) |   2.6 stars, 1hr 34m
Book of Love (2003) |   2.9 stars, 1hr 23m
Book of Shadows: Blair Witch 2 (2000) |   2.7 stars, 1hr 30m
Boomerang (1992) |   3.3 stars, 1hr 56m
Bop Girl (1957) |   2.3 stars, 1hr 20m
Border (1997) |   3.3 stars, 2hr 49m
Border Cop (1979) |   3 stars, 1hr 27m
Borderline Murder (2011) |   3.4 stars, 1hr 28m
Bordertown Gunfighters (1943) |   3.3 stars, 55m
Borgia (2011) |   3.9 stars, 1 Season
Boricua's Bond (2000) |   3.3 stars, 1hr 35m
Born 2 Race (2011) |   4 stars, 1hr 39m
Born and Bred (2011) |   3.8 stars, 1hr 34m
Born Bad Uncut (2011) |   3.3 stars, 1hr 32m
Born in Flames (1983) |   2.4 stars, 1hr 19m
Born to Controversy: The Roddy Piper Story (2006) |   3.9 stars, 1hr 38m
Born to Laugh (1988) |   , 1hr 19m
Born to Race (1988) |   2.9 stars, 1hr 34m
Born to Ride (2011) |   2.7 stars, 1hr 30m
Born to Win (1971) |   2.7 stars, 1hr 28m
Born Wild (1968) |   2.2 stars, 1hr 37m
Borough of Kings (2000) |   2.9 stars, 1hr 35m
Borstal Boy (2000) |   3.4 stars, 1hr 31m
Botany Bay (1953) |   3.4 stars, 1hr 34m
Bottle Shock (2008) |   3.7 stars, 1hr 48m
Boulevard (1994) |   3.4 stars, 1hr 35m
Bounty Hunters (1996) |   2.9 stars, 1hr 36m
Bounty Hunters (2011) |   3 stars, 1hr 19m
Bounty Hunters 2: Hardball (1997) |   2.9 stars, 1hr 37m
Bowery at Midnight (1942) |   2.9 stars, 1hr 2m
Box Elder (2008) |   3 stars, 1hr 35m
Boxcar Bertha (1972) |   3 stars, 1hr 28m
Boy (2009) |   2.8 stars, 1hr 19m
Boy, Did I Get a Wrong Number! (1966) |   3.5 stars, 1hr 39m
Boy Culture (2006) |   3.4 stars, 1hr 27m
Boy of the Streets (1937) |   2.8 stars, 1hr 16m
Boy Who Caught a Crook (1961) |   2.4 stars, 1hr 13m
Boy Wonder (2010) |   3.7 stars, 1hr 36m
BoyFriends (1996) |   2.6 stars, 1hr 21m
Boys and Girls (2000) |   3.5 stars, 1hr 33m
Boys Life 7 (2004) |   2.7 stars, 1hr 19m
Boys of Bonneville (2011) |   3.6 stars, 1hr 21m
Boys of Summer (2010) |   2.6 stars, 1hr 34m
Boys on the Run (2010) |   3.1 stars, 1hr 54m
Boys over Flowers (2009) |   4.4 stars, 1 Volume
Boyz N the Hood (1991) |   3.8 stars, 1hr 52m
Brain Dead (2007) |   2.8 stars, 1hr 31m
Brain Dead (1990) |   2.8 stars, 1hr 24m
Brainsmasher: A Love Story (1993) |   3 stars, 1hr 24m
Bram Stoker's Dracula's Curse (2006) |   2.7 stars, 1hr 47m
Bramwell (1995-1998) |   3.9 stars, 4 Seasons
Brass (1985) |   3 stars, 1hr 33m
Brassed Off (1996) |   3.5 stars, 1hr 40m
Bratz: Babyz: The Movie (2005) |   3.3 stars, 1hr 6m
Bratz: BFF: Best Friends Forever (2007) |   3.7 stars, 1hr 24m
Bratz: Desert Jewelz (2011) |   3.6 stars, 1hr 13m
Bratz: Diamondz (2006) |   3.6 stars, 1hr 13m
Bratz: Fashion Pixiez (2007) |   3.7 stars, 1hr 11m
Bratz: Genie Magic (2006) |   3.6 stars, 1hr 12m
Bratz: Girlz Really Rock (2008) |   3.7 stars, 1hr 21m
Bratz: Good Vibes (2011) |   3.8 stars, 1hr 24m
Bratz: Pampered Petz (2010) |   3.7 stars, 1hr 15m
Bratz: Rock Angelz (2005) |   3.6 stars, 1hr 16m
Bratz: Super Babyz (2007) |   3.4 stars, 1hr 13m
Bratz: The Video: Starrin' & Stylin' (2004) |   3.4 stars, 1hr 1m
Bratz Kidz: Fairy Tales (2007) |   3.5 stars, 1hr 13m
Bratz Kidz: Sleep-Over Adventure (2007) |   3.5 stars, 1hr 11m
Braveheart (1995) |   4.2 stars, 2hr 57m
Bravo, My Life (2005) |   , 1hr 35m
Bravo Two Zero (1999) |   3.3 stars, 2hr 2m
Braxton Family Values (2011) |   4.1 stars, 2 Seasons
Brazil (1944) |   2.6 stars, 1hr 31m
Bread, Love and Dreams (2010) |   , 1 Season
Bread and Roses (2000) |   3.3 stars, 1hr 50m
Bread and Tulips (2000) |   3.7 stars, 1hr 56m
Bread Crumbs (2011) |   2.6 stars, 1hr 26m
Break Ke Baad (2010) |   3.4 stars, 1hr 47m
Break Up (1998) |   3.3 stars, 1hr 40m
Breaker Morant: Masterworks Edition (1980) |   3.8 stars, 1hr 47m
Breakfast at Tiffany's (1961) |   3.9 stars, 1hr 54m
Breakin' 2: Electric Boogaloo (1984) |   3.4 stars, 1hr 34m
Breaking and Entering (2010) |   , 1hr 27m
Breaking Bad (2008-2011) |   4.5 stars, 4 Seasons
Breaking Dawn (2004) |   3.3 stars, 1hr 27m
Breaking Glass (1980) |   3.1 stars, 1hr 33m
Breaking In (1989) |   3.1 stars, 1hr 34m
Breaking Man (2010) |   , 1hr 32m
Breaking the Maya Code (2008) |   4 stars, 1hr 56m
Breaking Up Is Hard to Do (2010) |   3.6 stars, 1hr 47m
Breaking Upwards (2009) |   3.1 stars, 1hr 29m
Breaking Vegas: Prince of Poker (2007) |   3.1 stars, 45m
Breakout Kings (2011) |   4.2 stars, 1 Season
Breast Picture (2010) |   2.3 stars, 1hr 26m
Breath Made Visible (2009) |   3.3 stars, 1hr 21m
Breathless (1983) |   2.9 stars, 1hr 40m
Breeders (1986) |   2.4 stars, 1hr 17m
Breezy (1973) |   3.4 stars, 1hr 46m
Brian's Song (1971) |   3.8 stars, 1hr 14m
Brian's Song (2001) |   3.8 stars, 1hr 29m
Brian Regan: Standing Up (2007) |   3.8 stars, 43m
Brian Regan: The Epitome of Hyperbole (2008) |   3.9 stars, 42m
Brick (2005) |   3.6 stars, 1hr 49m
Bridalplasty (2010) |   3.6 stars, 1 Season
Bride Flight (2011) |   3.7 stars, 2hr 9m
Bride of Vengeance (1949) |   2.7 stars, 1hr 31m
Brideshead Revisited (1981) |   3.9 stars, 11 Episodes
Bridezillas (2010-2011) |   3.3 stars, 2 Seasons
Bridge to Silence (1989) |   3.6 stars, 1hr 33m
Brief Interviews with Hideous Men (2009) |   2.9 stars, 1hr 20m
Bright Leaves (2003) |   3 stars, 1hr 47m
Brimstone (1949) |   3.4 stars, 1hr 30m
Bringing Out the Dead (1999) |   3 stars, 2hr
Bringing Up Bobby (2009) |   , 1hr 32m
Britney Spears Live: The Femme Fatale Tour (2011) |   3 stars, 1hr 25m
Britz (2007) |   , 2 Episodes
Broadway Danny Rose (1984) |   3.6 stars, 1hr 24m
Brokeback Mountain (2005) |   3.3 stars, 2hr 14m
Broken Angel (1988) |   3.1 stars, 1hr 33m
Broken Arrow (1996) |   3.3 stars, 1hr 48m
Broken English (2007) |   3.3 stars, 1hr 37m
Broken Flowers (2005) |   3.1 stars, 1hr 45m
Broken Hill (2009) |   3.7 stars, 1hr 42m
Bronson (2008) |   3.6 stars, 1hr 32m
Brooklyn Babylon (2000) |   3.5 stars, 1hr 29m
Brooklyn Bound (2005) |   3.4 stars, 1hr 29m
Brooklyn Rules (2007) |   3.5 stars, 1hr 39m
Brother (1997) |   3.5 stars, 1hr 39m
Brother's Justice (2010) |   2.4 stars, 1hr 20m
Brother's Keeper: 10th Anniversary Edition (1992) |   3.6 stars, 1hr 44m
Brother Born Again (2001) |   3.1 stars, 1hr 16m
Brother Outsider: The Life of Bayard Rustin (2003) |   3.6 stars, 1hr 24m
Brother to Brother (2004) |   3.4 stars, 1hr 30m
Brother White (2012) |   3.6 stars, 1hr 30m
Brotherhood (2010) |   3.6 stars, 1hr 20m
Brotherhood of Justice (1986) |   3 stars, 1hr 33m
Brothers (2009) |   3.5 stars, 1 Season
Brothers & Sisters (2006-2010) |   3.8 stars, 5 Seasons
Brothers in Arms (2003) |   3.3 stars, 1hr 7m
Bruce Lee, The Legend (1977) |   4 stars, 1hr 29m
Bruiser (2000) |   2.9 stars, 1hr 39m
Bruno and the Banana Bunch (2007) |   3.4 stars, 1 Season
Brutal Beauty: Tales of the Rose City Rollers (2010) |   3.4 stars, 1hr 18m
Bubba Ho-Tep (2003) |   3.4 stars, 1hr 32m
Bubble (2006) |   2.8 stars, 1hr 13m
Buck (2011) |   4.1 stars, 1hr 28m
Buck Rogers in the 25th Century (1979-1981) |   3.7 stars, 2 Seasons
Buckaroo (2005) |   3.3 stars, 1hr 31m
Buckskin (1968) |   3.4 stars, 1hr 37m
Bucktown (1975) |   3.4 stars, 1hr 34m
Buddy (2003) |   3.6 stars, 1hr 40m
Buffalo Girls (1995) |   3.6 stars, 2 Episodes
Buffy the Vampire Slayer (1997-2002) |   3.9 stars, 7 Seasons
Bug Me Not (2004) |   2.8 stars, 1hr 27m
Bug Off! (2001) |   3.4 stars, 1hr 23m
Bugsy (1991) |   3.4 stars, 2hr 16m
Build It Bigger (2003) |   3.8 stars, 1 Season
Building Alaska (2005) |   3.6 stars, 1hr 25m
Building Pharaoh's Ship: Nova (2010) |   3.8 stars, 52m
Bulldog Jack (1935) |   3 stars, 1hr 13m
Bullet Boy (2004) |   3.3 stars, 1hr 25m
Bulletproof Heart (1994) |   2.8 stars, 1hr 37m
Bulletproof Salesman (2008) |   3.7 stars, 1hr 10m
Bullhead (2011) |   3.3 stars, 2hr 8m
Bullrider (2006) |   3.8 stars, 1hr 28m
Bunny and the Bull (2009) |   3.6 stars, 1hr 41m
Bunny O'Hare (1971) |   3.1 stars, 1hr 32m
Bunraku (2010) |   3.7 stars, 2hr 4m
Bunty Aur Babli (2005) |   3.6 stars, 2hr 48m
Buried (2010) |   3 stars, 1hr 35m
Burke & Wills (1985) |   2.9 stars, 2hr 20m
Burma VJ (2008) |   3.7 stars, 1hr 29m
Burn! (1970) |   3.3 stars, 1hr 52m
Burn, Witch, Burn (1962) |   3.1 stars, 1hr 29m
Burn Notice (2007-2011) |   4.2 stars, 5 Seasons
Burning Secret (1988) |   3 stars, 1hr 45m
Burnt Offerings (1976) |   3.1 stars, 1hr 56m
Burst Angel (2004) |   3.6 stars, 24 Episodes
Burzynski (2010) |   4.3 stars, 1hr 47m
Bus Stop (1956) |   3.4 stars, 1hr 34m
Bush Christmas (1947) |   3 stars, 1hr 17m
Buskers (2008) |   3.3 stars, 59m
Buster & Chauncey's Silent Night (1998) |   3.4 stars, 48m
Bustin' Down the Door (2008) |   3.8 stars, 1hr 35m
Bustin' Loose (1981) |   3.6 stars, 1hr 33m
Busting (1974) |   2.8 stars, 1hr 31m
Busting Out (2004) |   3.1 stars, 56m
Busytown Mysteries (2007-2010) |   3.6 stars, 2 Series
Butchered (2010) |   2.7 stars, 1hr 10m
Butley (1974) |   2.7 stars, 2hr 4m
Butterfly Kiss (1995) |   2.2 stars, 1hr 24m
Butterfly Sword (1993) |   3.1 stars, 1hr 26m
Buying Time (1989) |   2.5 stars, 1hr 34m
Bwana Devil (1952) |   2.6 stars, 1hr 19m
By Love Possessed (1961) |   3.1 stars, 1hr 56m
Bye Bye Brazil (1979) |   3.2 stars, 1hr 40m
C'est La Vie, Mon Cheri (1994) |   3 stars, 1hr 38m
C Me Dance (2008) |   3.4 stars, 1hr 28m
C.H.O.M.P.S. (1979) |   3.5 stars, 1hr 30m
C.H.U.D. (1984) |   3.1 stars, 1hr 36m
C.R.A.Z.Y. (2005) |   3.8 stars, 2hr 6m
CA$H (2006) |   3 stars, 1hr 54m
Ca$h (2010) |   3.3 stars, 1hr 48m
Ca$h (2008) |   3.4 stars, 1hr 42m
Cadet Kelly (2002) |   3.5 stars, 1hr 40m
Cadfael (1994-1998) |   4 stars, 4 Series
Caesar and Cleopatra (1945) |   3.3 stars, 2hr 7m
Caf� (2010) |   3.1 stars, 1hr 42m
Caf� Chavalos (2008) |   3.4 stars, 1hr 16m
Cage of Evil (1960) |   2.9 stars, 1hr 10m
Caged Fury (1989) |   2.6 stars, 1hr 35m
Caillou (1998) |   3.4 stars, 55 Episodes
Cairo Time (2009) |   3.2 stars, 1hr 29m
Cake (2006) |   3.4 stars, 1 Season
Cake (2005) |   3.2 stars, 1hr 34m
Cake Boss (2009-2011) |   4 stars, 4 Seasons
Calendar (1993) |   2.8 stars, 1hr 13m
Calendar Girl Murders (1984) |   2.6 stars, 1hr 35m
California (1963) |   2.8 stars, 1hr 15m
California Casanova (1991) |   2.1 stars, 1hr 34m
California Dreamin' (2007) |   3.1 stars, 2hr 34m
California Dreaming (1979) |   2.9 stars, 1hr 33m
California Firebrand (1948) |   3.3 stars, 1hr 3m
California Joe (1943) |   3 stars, 55m
California Passage (1950) |   3.3 stars, 1hr 30m
Call of the Rockies (1944) |   3 stars, 53m
Call the Mesquiteers (1938) |   2.6 stars, 53m
Callas Forever (2002) |   3.3 stars, 1hr 48m
Calle 54 (2000) |   3 stars, 1hr 45m
Callie & Son (1981) |   3.1 stars, 2hr 21m
Calling Wild Bill Elliott (1943) |   3.3 stars, 55m
Calvin Marshall (2009) |   3.2 stars, 1hr 32m
Cameraman: The Life and Work of Jack Cardiff (2010) |   3.7 stars, 1hr 26m
Camille (2008) |   3.3 stars, 1hr 30m
Camp (2003) |   3.2 stars, 1hr 49m
Camp Rock (2008) |   3.6 stars, 1hr 34m
Camp Rock 2: The Final Jam (2010) |   3.7 stars, 1hr 38m
Camp Victory, Afghanistan (2010) |   3.8 stars, 1hr 25m
Campfire (2004) |   3.3 stars, 1hr 32m
Campus Confidential (2005) |   3.5 stars, 1hr 24m
Campus Rhythm (1943) |   3.1 stars, 1hr 1m
Can Mr. Smith Get to Washington Anymore? (2006) |   3.7 stars, 1hr 24m
Can We Live Forever?: Nova scienceNOW (2011) |   4 stars, 52m
Can We Make it to Mars?: Nova scienceNOW (2011) |   3.9 stars, 52m
Canaan (2009) |   3.9 stars, 1 Season
Candyman (1992) |   3.2 stars, 1hr 38m
Candyman: The David Klein Story (2010) |   3.4 stars, 1hr 16m
Canned Heat: Live at Montreux 1973 (1973) |   3.3 stars, 1hr 13m
Cannes Man (1996) |   2.4 stars, 1hr 29m
Cannibal! The Musical (1996) |   3.5 stars, 1hr 36m
Cannibal Suburbia (2008) |   1.9 stars, 1hr 20m
Cannon for Cordoba (1970) |   3.1 stars, 1hr 43m
Canon City (1948) |   2.9 stars, 1hr 22m
Canterbury's Law (2008) |   3.7 stars, 6 Episodes
Canvas (1992) |   , 1hr 34m
Canyon Crossroads (1955) |   2.7 stars, 1hr 15m
Cape of Good Hope (2005) |   3.4 stars, 1hr 47m
Capote (2005) |   3.6 stars, 1hr 54m
Caprica (2009) |   3.9 stars, 1 Season
Captain Abu Raed (2009) |   3.8 stars, 1hr 42m
Captain America: The First Avenger (2011) |   4.1 stars, 2hr 4m
Captain Boycott (1947) |   3.1 stars, 1hr 33m
Captain Carey, U.S.A. (1950) |   3.3 stars, 1hr 22m
Captain Kidd and the Slave Girl (1954) |   3 stars, 1hr 24m
Captains of the Sand (2011) |   , 1hr 38m
Captive Hearts (1987) |   3.4 stars, 1hr 41m
Captives (1994) |   3.1 stars, 1hr 38m
Car Wash (1976) |   3.5 stars, 1hr 36m
Caravaggio (1986) |   2.7 stars, 1hr 29m
Caravan/Prague: The Uneasy Road to Change (2007) |   2.6 stars, 1hr 15m
Carbon Nation (2010) |   3.8 stars, 1hr 22m
Carcasses (2009) |   , 1hr 12m
Card Subject to Change (2011) |   3.5 stars, 1hr 26m
Career (1959) |   3.1 stars, 1hr 45m
Caribbean (1952) |   3.3 stars, 1hr 36m
Caribe (1987) |   2.8 stars, 1hr 27m
Carlito's Way: Rise to Power (2005) |   3.7 stars, 1hr 33m
Carlos (2010) |   3.8 stars, 2hr 45m
Carlos: Miniseries (2010) |   3.8 stars, 3 Episodes
Carlos Mencia: No Strings Attached: Live, Extended and Uncensored (2006) |   3.3 stars, 1hr 2m
Carlos Mencia: Performance Enhanced* (2008) |   3.4 stars, 42m
Carlos Santana & Wayne Shorter: Live at the Montreux Jazz Festival (1988) |   3.3 stars, 2hr 4m
Carlton-Browne of the F.O. (1959) |   3 stars, 1hr 29m
Carmel (2009) |   , 1hr 31m
Carmen & Geoffrey (2009) |   3.7 stars, 1hr 18m
Carmen Jones (1954) |   3.5 stars, 1hr 44m
Carnage1 (2012) |   , 1hr
Carnival of Souls (1998) |   2.4 stars, 1hr 26m
Carol's Journey (2004) |   3.6 stars, 1hr 40m
Carolina (2003) |   3.4 stars, 1hr 37m
Carpool (1983) |   2.9 stars, 1hr 35m
Carrie (2002) |   3.5 stars, 2hr 11m
Carried Away (2009) |   , 1hr 41m
Carrier (2008) |   4.1 stars, 10 Episodes
Carrington (1995) |   3.2 stars, 2hr 2m
Carry on Columbus (1992) |   2.5 stars, 1hr 25m
Carry On Cruising (1962) |   2.9 stars, 1hr 25m
Cars That Changed the Automobile Industry (2006) |   3.3 stars, 43m
Carson City Cyclone (1943) |   2.8 stars, 55m
Carson City Raiders (1948) |   3.3 stars, 1hr
Cartoon Noir (2000) |   2.6 stars, 1hr 23m
Cartoons That Time Forgot: UB Iwerks Collection: Vol. 1 (1934) |   3.3 stars, 3hr 56m
Cartoons That Time Forgot: UB Iwerks Collection: Vol. 2 (1934) |   3.3 stars, 3hr 10m
Cartoons That Time Forgot: Van Beuren Studios (1993) |   3.4 stars, 2hr 35m
Cartouche (1962) |   2.8 stars, 1hr 56m
Carve Her Name with Pride (1958) |   3.5 stars, 1hr 59m
Carved: The Slit Mouthed Woman (2007) |   3.1 stars, 1hr 30m
Casanova (2005) |   3.7 stars, 2 Episodes
Casanova '70 (1965) |   2.4 stars, 1hr 55m
Casanova Brown (1944) |   3.4 stars, 1hr 31m
Casbah (1948) |   2.8 stars, 1hr 33m
Case 39 (2009) |   3.6 stars, 1hr 49m
Cash (2007) |   2.7 stars, 2hr 17m
Cashback (2006) |   3.4 stars, 1hr 41m
Cashmere Mafia (2008) |   3.1 stars, 7 Episodes
Casi Divas (2008) |   3.7 stars, 1hr 46m
Casino Jack (2010) |   3.2 stars, 1hr 48m
Casino Jack and the United States of Money (2010) |   3.7 stars, 1hr 58m
Casper's Haunted Christmas (2000) |   3.6 stars, 1hr 19m
Casshern Sins (2008) |   3.5 stars, 2 Parts
Castaway (1986) |   2.9 stars, 1hr 57m
Castaway on the Moon (2009) |   4 stars, 1hr 56m
Casual Sex? (1988) |   3.1 stars, 1hr 27m
Casualties (1997) |   3.4 stars, 1hr 25m
Cat on a Hot Tin Roof (1958) |   4 stars, 1hr 48m
Cat Run (2011) |   2.9 stars, 1hr 45m
Catacombs (2007) |   2.9 stars, 1hr 32m
Catch the Heat (1987) |   2.7 stars, 1hr 28m
Category 6: Day of Destruction (2004) |   3.7 stars, 1 Season
Category 7: The End of the World (2005) |   3.7 stars, 2 Episodes
Caterina in the Big City (2005) |   3.2 stars, 1hr 42m
Caterpillar (2010) |   3 stars, 1hr 24m
Catherine Cookson's The Dwelling Place (1994) |   3.9 stars, 3 Episodes
Catherine Cookson's The Gambling Man (1995) |   3.7 stars, 3 Episodes
Catherine Cookson's The Glass Virgin (1995) |   3.8 stars, 3 Episodes
Catherine Cookson's The Man Who Cried (1993) |   3.6 stars, 2 Episodes
Catherine Cookson's The Moth (1997) |   3.9 stars, 3 Episodes
Catherine Cookson's The Rag Nymph (1997) |   3.9 stars, 3 Episodes
Catherine Cookson's The Wingless Bird (1997) |   3.8 stars, 3 Episodes
Caught (1949) |   3.4 stars, 1hr 28m
Caught in the Act (2008) |   , 1hr 35m
Caught Inside (2010) |   3 stars, 1hr 35m
Caught on Camera (2008) |   3.7 stars, 8 Episodes
Cautiva (2005) |   3.7 stars, 1hr 48m
Cavalry Charge (1951) |   3.4 stars, 1hr 28m
Cave of Forgotten Dreams (2010) |   3.7 stars, 1hr 30m
Caveman (1981) |   3.3 stars, 1hr 31m
Cavite (2006) |   2.7 stars, 1hr 19m
Caxambu (1967) |   2.5 stars, 1hr 25m
Cayman Went (2008) |   3.4 stars, 1hr 31m
Cayo (2005) |   3.6 stars, 1hr 51m
Cease Fire (1953) |   3.2 stars, 1hr 15m
Cedric The Entertainer: All Star Comedy Jam I (2009) |   4.2 stars, 1hr 28m
Celebrity Rehab with Dr. Drew (2010) |   3.7 stars, 2 Seasons
Celebrity Sex Tape (2012) |   3 stars, 1hr 31m
Cellmates (2011) |   3.5 stars, 1hr 25m
Celluloid Bloodbath (2011) |   ,
Cemetery Junction (2010) |   3.3 stars, 1hr 34m
Census Taker (1984) |   2.3 stars, 1hr 24m
Centre Place (2009) |   3 stars, 1hr 25m
Centurion (2010) |   3.6 stars, 1hr 37m
Ceremony (2011) |   2.8 stars, 1hr 29m
Certifiably Jonathan (2007) |   3.2 stars, 1hr 18m
Certified Copy (2010) |   3 stars, 1hr 46m
Ch�ri (2009) |   2.9 stars, 1hr 32m
Chai Lai Angels: Dangerous Flowers (2006) |   2.7 stars, 1hr 41m
Chain Letter (2010) |   3.2 stars, 1hr 27m
Chain Reaction (1996) |   3.4 stars, 1hr 46m
Chak De! India (2007) |   4 stars, 2hr 28m
Chak Jawana (2010) |   , 2hr 6m
